PID,MedianRT,MeanACC
4017,722.5,0.666666666666667
4079,352.5,0.962962962962963
7253,197.5,1
7266,156.5,1
7464,901,0.62962962962963
4023,336,1
4062,254.5,0.87037037037037
4074,386,0.981481481481482
4076,300.5,0.981481481481482
7176,254.5,0.962962962962963
7307,285,1
7582,330.5,0.666666666666667
7309,266,0.648148148148148
4058,238,1
7341,340,0.407407407407407
7357,722,0.333333333333333
7429,431,0.981481481481482
7442,503,0.981481481481482
7466,358,0.981481481481482
7477,382,1
7491,232.5,0.981481481481482
7507,527,0.981481481481482
7521,607.5,0.925925925925926
7526,461,0.962962962962963
7527,404,1
7598,316,1
7620,256.5,0.981481481481482
7621,335.5,1
7634,458.5,1
7654,384,0.981481481481482
7657,345.5,0.944444444444444
7685,330.5,1
7686,727,0.981481481481482
7693,608,0.944444444444444
7695,272,1
7730,562,0.518518518518518
7758,646,1
7759,252,1
7761,128,1
